kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,TCE_ID,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,reliability,fpp_prob_use,totalReliability,Disp
8561063,K00961.03,2,CANDIDATE,1.0,1.865114193,33.096786,0.66,0.17,-0.08,0.040715,0.00022,-0.004542,008561063-02,0.174568771144,0.0009847292978810002,0.00125752281316,3427.85126039,0.7778653916539645,0.006076165162102128,-0.08695623232530679,1738,8561063,1.865,0.024,1,0.024,0.976,PC
8561063,K00961.01,1,CANDIDATE,1.0,1.213770423,70.81955,0.78,0.2,-0.09,0.048039,0.000395,-0.0063,008561063-01,0.174568771144,0.0009847292978810002,0.00125752281316,3427.85126039,0.9177913680379418,0.009151687312522926,-0.12054376507464414,1736,8561063,1.214,6e-05,1,6e-05,0.99994,PC
7304449,K01702.01,1,CANDIDATE,0.9990000000000001,1.538180949,28.219137,1.0,0.23,-0.18,0.033564,0.001855,-0.006548999999999999,007304449-01,0.366792790885,0.00231330329198,0.00245422084952,3523.9299449,1.347342345265206,0.07494758349158115,-0.2630476572537861,2585,7304449,1.538,0.00087,1,0.00087,0.99913,PC
8733898,K02842.01,1,CANDIDATE,1.0,1.565412613,33.523926,1.73,0.22,-0.19,0.048437,0.002143,-0.000505,008733898-01,0.216981505474,0.00167432315485,0.0013684374757,3501.72777847,1.1502266098939917,0.05165772181308388,-0.014015508252622069,3977,8733898,1.565,0.001,1,0.001,0.999,PC
8733898,K02842.02,3,CANDIDATE,0.992,5.14892346,17.186101999999998,1.72,0.21,-0.18,0.048149,0.009532,-0.003498,008733898-03,0.216981505474,0.00167432315485,0.0013684374757,3501.72777847,1.1433875144989534,0.22652694389303185,-0.08337891891017472,3978,8733898,5.149,0.02,1,0.02,0.98,PC
8733898,K02842.03,2,CANDIDATE,0.9470000000000001,3.036208739,18.237106,1.4,0.17,-0.15,0.039143,0.0016699999999999998,-0.001125,008733898-02,0.216981505474,0.00167432315485,0.0013684374757,3501.72777847,0.9295233022499435,0.04030067102004538,-0.027350840476735118,3979,8733898,3.036,0.0065,1,0.0065,0.9935,PC
6444896,K03138.01,1,CANDIDATE,1.0,8.68910764,11.992775,0.49,0.0,0.0,0.038216,0.002406,-0.001287,006444896-01,0.231458296977,0.00151716986458,0.0015549929209200002,3398.34914657,0.9680581314338738,0.06127636622761293,-0.0332436673465903,3907,6444896,8.689,0.36,1,0.36,0.64,PC
9730163,K02704.01,1,CANDIDATE,1.0,4.871223664,41.95647,1.56,0.7,-0.23,0.07943099999999999,0.008687,-0.007179000000000001,009730163-01,0.304316518905,0.00228551068368,0.0021848589236500003,3258.0359814,2.645446683539457,0.29000161847525374,-0.2398495393370364,4015,9730163,4.871,2.2e-05,1,2.2e-05,0.999978,PC
9730163,K02704.02,2,CANDIDATE,0.9390000000000001,2.9841577110000004,19.508406,0.92,0.42,-0.14,0.046896,0.00111,-0.003045,009730163-02,0.304316518905,0.00228551068368,0.0021848589236500003,3258.0359814,1.5618696437318729,0.0387848756244095,-0.10203168871535745,4016,9730163,2.984,0.0044,1,0.0044,0.9956,PC
5868793,K04290.01,1,CANDIDATE,0.914,4.83809469,10.980496,0.79,0.12,-0.12,0.036066,0.002674,-0.002052,005868793-01,0.217100683081,0.00116479210081,0.00155827556766,3246.08096367,0.8569246265864499,0.06370011114429759,-0.04914175859911874,4972,5868793,4.838,0.0073,1,0.0073,0.9927,PC
7350067,K06863.01,1,CANDIDATE,1.0,4.48559215,22.398544,0.95,0.16,-0.12,0.04497,0.001836,-0.0033090000000000003,007350067-01,0.375688883153,0.00232876490817,0.00226402714902,3489.44314406,1.8489905326184728,0.07635424340759259,-0.13650866293461336,6696,7350067,4.486,0.11,1,0.11,0.89,PC
10452252,K08012.01,7,CANDIDATE,0.9890000000000001,34.573718512,7.660442,0.42,0.17,-0.12,0.017559,0.0,0.0,010452252-07,0.431688765414,0.00282494519019,0.00291324663304,3581.708074,0.8295718007953545,0.005428667726218507,-0.005598355688534718,7767,10452252,34.574,0.55,1,0.55,0.44999999999999996,PC
6423922,K06705.01,1,CANDIDATE,0.413,0.9951412,12.779973,0.22,0.14,-0.01,0.018188,0.338521,-0.006508,006423922-01,0.34650045806100005,0.00167878912932,0.00186390855944,3462.51657001,0.6897190387341445,12.837276590166754,-0.24682200939313856,6861,6423922,0.995,1.0,1,1.0,0.0,PC
